time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-03 00:00:00+00:00,2,2,0,0
2026-02-04 00:00:00+00:00,14,6,0,0
2026-02-05 00:00:00+00:00,2,2,0,0
2026-02-06 00:00:00+00:00,10,6,0,0
2026-02-07 00:00:00+00:00,8,6,0,0
2026-02-08 00:00:00+00:00,14,6,0,0
2026-02-09 00:00:00+00:00,14,6,0,0
2026-02-10 00:00:00+00:00,17,9,1,1
2026-02-11 00:00:00+00:00,18,6,0,0
2026-02-12 00:00:00+00:00,12,8,1,1
2026-02-13 00:00:00+00:00,2,2,0,0
2026-02-14 00:00:00+00:00,2,2,0,0
2026-02-15 00:00:00+00:00,9,5,0,0
2026-02-16 00:00:00+00:00,12,4,0,0
