time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,17,7,0,0
2026-06-12 00:00:00+00:00,15,6,0,0
2026-06-13 00:00:00+00:00,21,6,0,0
2026-06-14 00:00:00+00:00,16,6,0,0
2026-06-15 00:00:00+00:00,25,6,0,0
2026-06-16 00:00:00+00:00,28,9,0,0
2026-06-17 00:00:00+00:00,21,7,0,0
2026-06-18 00:00:00+00:00,26,6,0,0
2026-06-19 00:00:00+00:00,28,8,0,0
2026-06-20 00:00:00+00:00,29,9,0,0
2026-06-21 00:00:00+00:00,21,6,0,0
2026-06-22 00:00:00+00:00,27,8,0,0
2026-06-23 00:00:00+00:00,57,13,0,0
2026-06-24 00:00:00+00:00,20,5,0,0
