time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,6,5,1,1
2026-04-14 00:00:00+00:00,19,6,0,0
2026-04-15 00:00:00+00:00,29,11,0,0
2026-04-16 00:00:00+00:00,11,7,0,0
2026-04-17 00:00:00+00:00,24,7,0,0
2026-04-18 00:00:00+00:00,5,5,0,0
2026-04-19 00:00:00+00:00,33,13,0,0
2026-04-20 00:00:00+00:00,48,20,0,0
2026-04-21 00:00:00+00:00,37,17,0,0
2026-04-22 00:00:00+00:00,79,25,0,0
2026-04-23 00:00:00+00:00,49,18,0,0
2026-04-24 00:00:00+00:00,58,25,0,0
2026-04-25 00:00:00+00:00,54,23,0,0
2026-04-26 00:00:00+00:00,7,2,0,0
